City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Moussoro,13.6408,16.4901,95.83,34,44,12.15,TD,1631971114
Kontagora,10.3999,5.4695,84.29,66,100,5.97,NG,1631971115
Faanui,-16.4833,-151.75,77.81,76,16,21.61,PF,1631971117
Tripoli,32.8752,13.1875,91.92,35,0,10.42,LY,1631970886
Kalmunai,7.4167,81.8167,83.41,75,78,7.81,LK,1631971118
Kapaa,22.0752,-159.319,75.18,78,95,1.01,US,1631970979
Namwala,-15.7504,26.4384,93.18,22,27,11.25,ZM,1631971119
Hobart,-42.8794,147.3294,46.26,71,75,5.01,AU,1631970885
Hong Kong,22.2855,114.1577,88.32,79,94,14.03,HK,1631970674
Punta Arenas,-53.15,-70.9167,37.51,93,40,4.61,CL,1631970930
Macusani,-14.0833,-70.4333,43.29,60,7,2.01,PE,1631971121
Zykovo,55.9519,93.1461,56.14,83,99,3.2,RU,1631971123
Hofn,64.2539,-15.2082,49.98,82,100,9.69,IS,1631971125
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,87,0,0.0,RU,1631971126
Kavarskas,55.4333,24.9167,45.46,72,100,16.17,LT,1631971127
Tiksi,71.6872,128.8694,35.26,78,100,15.17,RU,1631971010
Olinda,-8.0089,-34.8553,78.53,65,40,13.8,BR,1631971083
Kui Buri,12.0828,99.8543,80.49,82,42,4.5,TH,1631971129
Port Elizabeth,-33.918,25.5701,69.1,59,0,21.85,ZA,1631971129
Erenhot,43.6475,111.9767,72.93,29,100,9.33,CN,1631971132
Hünxe,51.65,6.7833,73.9,52,36,6.87,DE,1631971132
Podyuga,61.095,40.8647,43.07,64,100,6.04,RU,1631971135
Lüderitz,-26.6481,15.1594,62.29,66,28,18.16,NA,1631971136
Anadyr,64.75,177.4833,34.3,86,0,0.0,RU,1631971137
Haines Junction,60.7522,-137.5108,33.75,86,100,1.14,CA,1631971033
Ushuaia,-54.8,-68.3,37.06,81,20,0.0,AR,1631970875
Vaini,-21.2,-175.2,71.76,94,75,3.44,TO,1631970971
Port Macquarie,-31.4333,152.9167,66.16,54,100,8.28,AU,1631970841
Ixtapa,20.7,-105.2,75.22,100,1,3.44,MX,1631971140
Portland,45.5234,-122.6762,58.86,94,90,4.0,US,1631970756
Butaritari,3.0707,172.7902,82.4,75,1,17.2,KI,1631970903
Castro,-24.7911,-50.0119,73.36,60,1,2.86,BR,1631970870
Srednekolymsk,67.45,153.6833,35.1,80,99,17.58,RU,1631971025
Waverly,42.7392,-84.6208,63.09,69,1,6.91,US,1631971142
Busselton,-33.65,115.3333,56.08,85,99,7.43,AU,1631970868
Hermanus,-34.4187,19.2345,70.81,46,97,10.47,ZA,1631970881
Thompson,55.7435,-97.8558,46.56,87,90,2.3,CA,1631971144
Sitka,57.0531,-135.33,49.89,81,90,3.44,US,1631970950
Saint-Joseph,-21.3667,55.6167,77.36,74,25,11.81,RE,1631971145
Yining,29.0361,114.5636,77.43,77,5,3.22,CN,1631971147
Acapulco de Juárez,16.8634,-99.8901,78.62,83,90,4.61,MX,1631971148
Mataura,-46.1927,168.8643,38.48,98,44,2.71,NZ,1631970898
"Guinayangan, Fourth District of Quezon",13.9006,122.4519,78.35,92,19,3.29,PH,1631971149
Rikitea,-23.1203,-134.9692,71.87,78,100,10.71,PF,1631970874
Saint Paul Harbor,57.79,-152.4072,45.59,76,4,12.95,US,1631970912
Luebo,-5.35,21.4167,90.46,39,99,5.21,CD,1631971150
Dikson,73.5069,80.5464,35.2,70,7,26.6,RU,1631970868
Katsuura,35.1333,140.3,73.51,92,68,19.42,JP,1631971149
Kismayo,-0.3582,42.5454,80.76,66,79,17.36,SO,1631971152
Lebu,-37.6167,-73.65,50.16,69,100,5.88,CL,1631971153
Vila Franca do Campo,37.7167,-25.4333,72.01,60,79,6.67,PT,1631971155
Chui,-33.6971,-53.4616,65.46,74,7,3.33,UY,1631971022
Spornoye,50.8448,37.2913,59.02,53,100,18.97,RU,1631971157
Atuona,-9.8,-139.0333,77.29,79,9,17.25,PF,1631970908
Port Alfred,-33.5906,26.891,64.81,54,0,22.44,ZA,1631970891
Kruisfontein,-34.0033,24.7314,66.88,40,32,22.97,ZA,1631971158
Gamba,-2.65,10.0,78.51,74,100,9.51,GA,1631971160
Puerto Ayora,-0.7393,-90.3518,67.55,96,83,3.0,EC,1631970981
Padang,-0.9492,100.3543,75.25,92,100,3.98,ID,1631970677
Deputatsky,69.3,139.9,24.55,97,100,10.65,RU,1631971163
Arraial do Cabo,-22.9661,-42.0278,76.96,78,40,13.8,BR,1631970992
Jamestown,42.097,-79.2353,69.39,98,75,1.01,US,1631970822
Paamiut,61.994,-49.6678,34.9,81,84,13.91,GL,1631971165
Barrow,71.2906,-156.7887,30.22,86,90,11.5,US,1631970951
Hilo,19.7297,-155.09,71.33,87,75,5.75,US,1631970911
Tayu,-6.5397,111.0518,81.3,76,71,9.01,ID,1631971167
Tuktoyaktuk,69.4541,-133.0374,39.45,87,100,4.61,CA,1631970872
Albany,42.6001,-73.9662,70.09,93,39,2.73,US,1631970776
São José da Coroa Grande,-8.8978,-35.1478,80.35,61,8,10.11,BR,1631971168
Kavieng,-2.5744,150.7967,83.37,77,18,15.17,PG,1631971169
Hornepayne,49.2138,-84.7705,47.01,81,26,3.33,CA,1631971171
Igrim,63.1906,64.4162,35.1,97,100,14.29,RU,1631971172
Klaksvík,62.2266,-6.589,54.52,85,100,15.08,FO,1631971173
Santa Rita,-7.1139,-34.9781,84.87,58,40,18.41,BR,1631971175
Bathsheba,13.2167,-59.5167,88.41,62,40,12.66,BB,1631971035
Kungurtug,50.5994,97.5228,51.48,57,83,3.62,RU,1631971177
Hamilton,39.1834,-84.5333,75.74,94,75,0.0,US,1631971090
Tasiilaq,65.6145,-37.6368,39.36,64,57,6.26,GL,1631970954
Anshun,26.25,105.9333,67.1,95,23,10.29,CN,1631971178
Cape Town,-33.9258,18.4232,71.73,38,0,5.55,ZA,1631970765
Constitución,-35.3333,-72.4167,53.69,70,5,7.65,CL,1631971178
New Norfolk,-42.7826,147.0587,45.91,73,100,8.9,AU,1631970891
Kharovsk,59.9642,40.1912,44.37,55,87,7.16,RU,1631971181
Bredasdorp,-34.5322,20.0403,70.29,43,11,17.0,ZA,1631970895
Lüleburgaz,41.4039,27.3592,87.17,28,38,6.73,TR,1631971182
Nyurba,63.2842,118.3319,33.13,74,13,4.56,RU,1631971183
Seoul,37.5683,126.9778,71.04,83,0,4.61,KR,1631971027
Prince Rupert,54.3161,-130.3201,51.49,91,90,5.75,CA,1631971050
Yellowknife,62.456,-114.3525,43.32,81,75,11.5,CA,1631970918
Saskylakh,71.9167,114.0833,29.16,93,99,5.3,RU,1631970985
Jand,33.4299,72.0193,96.84,32,0,0.56,PK,1631971187
Kaitangata,-46.2817,169.8464,39.18,92,82,3.91,NZ,1631971017
Ust-Kuyga,70.0167,135.6,30.18,82,100,19.86,RU,1631971187
East London,-33.0153,27.9116,64.53,53,2,18.19,ZA,1631970893
Coyhaique,-45.5752,-72.0662,42.75,81,75,4.61,CL,1631971189
Arlit,18.7369,7.3853,104.18,10,5,9.69,NE,1631971191
Palmer,42.1584,-72.3287,69.4,91,90,3.44,US,1631971192
Carnarvon,-24.8667,113.6333,64.47,68,0,21.85,AU,1631971009
Adrar,20.5022,-10.0711,96.69,20,45,2.66,MR,1631971193
Māngrol,21.1167,70.1167,81.59,81,15,5.99,IN,1631971194
Sur,22.5667,59.5289,91.65,53,10,15.86,OM,1631971195
Fatehpur Sikri,27.1,77.6667,82.04,78,5,7.52,IN,1631970964
Bambous Virieux,-20.3428,57.7575,79.05,57,40,8.05,MU,1631971040
Ontario,34.0633,-117.6509,72.81,74,75,3.44,US,1631970898
Mar del Plata,-38.0023,-57.5575,62.62,63,0,0.0,AR,1631971197
Touros,-5.1989,-35.4608,83.3,51,73,20.83,BR,1631971082
Moerai,-22.4333,-151.3333,71.42,68,1,14.23,PF,1631971199
Marzuq,14.4,46.4667,95.14,15,27,14.94,YE,1631971200
Saldanha,-33.0117,17.9442,73.45,51,0,9.26,ZA,1631971202
Chicama,-7.8447,-79.1469,57.74,77,62,3.18,PE,1631971037
Airai,-8.9266,125.4092,59.72,80,100,3.6,TL,1631970986
Kaura Namoda,12.5898,6.5779,90.86,47,74,6.8,NG,1631971204
Natchez,31.5604,-91.4032,78.26,91,90,3.44,US,1631971206
Cabo San Lucas,22.8909,-109.9124,77.81,86,97,6.53,MX,1631971032
Cidreira,-30.1811,-50.2056,67.66,83,17,3.58,BR,1631971015
Coahuayana Viejo,18.7333,-103.6833,80.08,91,99,2.13,MX,1631971207
Hirara,24.8,125.2833,82.9,80,15,12.26,JP,1631971209
Cherskiy,68.75,161.3,31.42,75,100,14.97,RU,1631971210
Bluff,-46.6,168.3333,38.8,88,20,8.9,NZ,1631970867
West Plains,36.7281,-91.8524,70.63,96,90,1.01,US,1631971211
Bandarbeyla,9.4942,50.8122,81.14,73,3,33.96,SO,1631971212
Beringovskiy,63.05,179.3167,42.89,72,7,7.61,RU,1631971215
Barcelos,41.5388,-8.6151,70.92,46,0,12.37,PT,1631971217
Te Anau,-45.4167,167.7167,38.93,95,99,2.77,NZ,1631971052
Yakeshi,49.2833,120.7333,50.31,76,100,5.35,CN,1631971219
Concarneau,47.875,-3.9225,70.57,80,98,11.14,FR,1631971219
San Benedetto del Tronto,42.9456,13.8816,82.87,62,12,9.84,IT,1631971220
Dali,25.7,100.1833,62.96,89,96,5.17,CN,1631971222
Feijó,-8.1642,-70.3536,81.37,64,77,2.46,BR,1631971222
Nkhata Bay,-11.6066,34.2907,84.4,50,3,11.7,MW,1631971223
George Town,5.4112,100.3354,79.9,92,40,1.01,MY,1631970942
Guerrero Negro,27.9769,-114.0611,67.64,86,2,11.92,MX,1631971226
Teguise,29.0605,-13.564,75.42,61,20,19.57,ES,1631971227
Władysławowo,54.7909,18.4009,54.95,69,99,18.77,PL,1631971093
Ambilobe,-13.2,49.05,83.28,59,30,9.78,MG,1631970905
Rio Verde de Mato Grosso,-18.9181,-54.8442,94.95,19,54,6.76,BR,1631971230
Puerto Escondido,15.85,-97.0667,77.83,69,75,5.75,MX,1631971231
Tulagi,-9.0996,160.1476,82.13,78,17,17.43,SB,1631971233
Skibbereen,51.55,-9.2667,62.4,66,80,10.45,IE,1631971233
Longyearbyen,78.2186,15.6401,46.24,49,0,16.11,SJ,1631971099
Aquiraz,-3.9014,-38.3911,86.09,53,4,16.44,BR,1631971235
Bragança,-1.0536,-46.7656,86.76,60,58,6.64,BR,1631971236
Yumen,40.2833,97.2,71.67,19,98,13.47,CN,1631971238
Pevek,69.7008,170.3133,30.97,79,100,12.88,RU,1631971239
Isangel,-19.55,169.2667,69.98,76,26,14.54,VU,1631970998
Port Antonio,18.18,-76.4612,85.91,78,95,8.52,JM,1631971241
Caravelas,-17.7125,-39.2481,78.22,62,70,6.42,BR,1631971242
Clyde River,70.4692,-68.5914,29.05,84,98,3.8,CA,1631971244
Khani,41.9563,42.9566,71.17,62,5,5.3,GE,1631971246
Emba,48.8264,58.1442,56.26,42,97,19.91,KZ,1631971247
Margate,51.3813,1.3862,75.06,73,100,7.05,GB,1631971249
Hasaki,35.7333,140.8333,77.4,93,100,20.76,JP,1631971251
Kamaishi,39.2667,141.8833,68.95,93,44,3.27,JP,1631971251
Chany,55.3121,76.7647,44.06,62,91,6.96,RU,1631971251
Nouakchott,18.0858,-15.9785,87.73,65,96,4.16,MR,1631971111
Codrington,-38.2667,141.9667,46.98,74,100,13.04,AU,1631971253
Tuatapere,-46.1333,167.6833,38.82,93,100,5.39,NZ,1631971254
Saint-Philippe,-21.3585,55.7679,80.15,77,42,8.72,RE,1631970889
Tura,25.5198,90.2201,73.29,97,88,3.6,IN,1631971234
Cocal,-28.6167,-49.35,73.31,70,22,1.77,BR,1631971256
Rawson,-43.3002,-65.1023,56.01,39,9,13.2,AR,1631971257
Price,39.5994,-110.8107,62.4,40,90,4.61,US,1631971259
Jalu,29.0331,21.5482,94.57,19,0,8.86,LY,1631971260
Laas,46.6166,10.7002,76.08,34,79,0.81,IT,1631971263
Mossamedes,-15.1961,12.1522,70.93,69,21,13.0,AO,1631971264
Iqaluit,63.7506,-68.5145,33.53,93,90,8.05,CA,1631971033
Novy Urengoy,66.0833,76.6333,39.45,82,100,14.54,RU,1631971266
Qaanaaq,77.484,-69.3632,14.27,70,100,6.29,GL,1631970934
Abu Dhabi,24.4667,54.3667,104.11,29,0,10.36,AE,1631971268
Samarai,-10.6167,150.6667,78.31,86,100,21.16,PG,1631971269
Kumul,42.8,93.45,78.15,17,70,8.14,CN,1631971270
Lata,40.1629,-8.3327,77.07,35,0,9.89,PT,1631971270
Korla,41.7597,86.1469,79.23,18,4,5.73,CN,1631971272
Mehamn,71.0357,27.8492,48.88,64,0,14.27,NO,1631971272
Bethel,41.3712,-73.414,70.72,92,34,1.99,US,1631970901
Shenjiamen,29.9576,122.298,73.63,74,0,7.58,CN,1631971274
Fairbanks,64.8378,-147.7164,39.81,88,75,0.0,US,1631971274
Muros,42.7762,-9.0603,72.16,75,22,13.38,ES,1631971277
Khatanga,71.9667,102.5,27.95,77,14,10.42,RU,1631970945
Gayny,60.3071,54.3241,37.65,91,100,12.01,RU,1631971278
Lagoa,39.05,-27.9833,66.34,66,100,8.52,PT,1631970996
Montelíbano,7.9829,-75.4229,78.22,87,56,4.36,CO,1631971280
Wakkanai,45.4094,141.6739,63.95,81,3,6.38,JP,1631971222
Salisbury,51.0693,-1.7957,76.26,60,20,17.27,GB,1631971281
Aitape,-3.1374,142.3475,78.73,89,66,7.4,PG,1631971283
Souillac,-20.5167,57.5167,79.18,57,40,8.05,MU,1631971283
La Ronge,55.1001,-105.2842,48.45,71,90,5.75,CA,1631971049
Hithadhoo,-0.6,73.0833,83.57,73,45,3.49,MV,1631971050
Bonthe,7.5264,-12.505,82.69,73,99,9.19,SL,1631971285
Iskateley,67.6803,53.1512,39.49,76,100,18.12,RU,1631971287
Ponta do Sol,32.6667,-17.1,79.72,79,42,4.36,PT,1631970907
Khor,47.8861,134.9464,44.42,64,0,6.22,RU,1631971288
Garissa,-0.4536,39.6401,95.05,27,90,18.57,KE,1631971289
Buchanan,5.8808,-10.0467,81.81,74,95,9.42,LR,1631971291
Ciudad Bolivar,8.1222,-63.5497,82.33,68,48,7.65,VE,1631971292
Bilibino,68.0546,166.4372,31.44,97,100,6.35,RU,1631971293
Rafai,4.95,23.9167,80.28,65,100,3.8,CF,1631971295
Taoudenni,22.6783,-3.9836,110.7,9,72,8.59,ML,1631971296
High River,50.5834,-113.8687,66.69,43,97,20.65,CA,1631971298
Salinas,36.6777,-121.6555,60.89,81,90,4.61,US,1631971299
Eureka,40.8021,-124.1637,65.01,77,100,5.99,US,1631971300
Sørland,67.667,12.6934,51.03,73,100,21.27,NO,1631971301
Alta Floresta,-9.8756,-56.0861,80.42,78,75,4.61,BR,1631971095
Ulladulla,-35.35,150.4667,52.88,52,0,8.14,AU,1631971303
Idrinskoye,54.3708,92.1358,54.63,79,100,0.36,RU,1631971304
Buraidah,26.326,43.975,106.25,9,6,5.37,SA,1631970940
Bengkulu,-3.8004,102.2655,77.2,87,69,5.66,ID,1631971025
Saint George,37.1041,-113.5841,75.94,43,20,8.01,US,1631970942
Mahébourg,-20.4081,57.7,79.09,57,40,8.05,MU,1631971307
Saint-François,46.4154,3.9054,73.47,56,75,4.61,FR,1631971310
The Valley,18.217,-63.0578,87.66,70,20,10.36,AI,1631971074
Rocha,-34.4833,-54.3333,64.06,75,2,4.41,UY,1631971311
Lompoc,34.6391,-120.4579,61.11,82,90,0.0,US,1631971313
Inhambane,-23.865,35.3833,75.18,41,40,11.5,MZ,1631971314
Manokwari,-0.8667,134.0833,78.22,78,100,5.91,ID,1631971316
Hervey Bay,-25.2986,152.8535,61.03,66,0,10.33,AU,1631971316
Doha,25.2867,51.5333,102.51,56,0,13.8,QA,1631970646
Carutapera,-1.195,-46.02,86.79,58,6,9.86,BR,1631971033
Hāgere Selam,6.4833,38.5167,56.17,87,100,3.8,ET,1631971318
Wanning,18.8003,110.3967,80.96,78,0,0.65,CN,1631971320
Rio Grande,-32.035,-52.0986,64.51,88,99,3.98,BR,1631971320
Kedrovyy,56.1667,91.8167,54.01,84,63,3.18,RU,1631971322
Aksarka,66.5606,67.7975,34.74,90,100,34.23,RU,1631971323
Safaga,26.7292,33.9365,86.88,54,0,14.47,EG,1631971325
Acandí,8.5063,-77.2778,81.54,78,49,1.07,CO,1631971326
Havre-St-Pierre,50.2334,-63.5986,62.96,82,90,10.36,CA,1631971050
Vila Velha,-20.3297,-40.2925,80.55,61,20,12.66,BR,1631971327
Chokurdakh,70.6333,147.9167,25.77,84,16,7.43,RU,1631971054
Kahului,20.8947,-156.47,74.46,83,20,16.11,US,1631971329
Lavrentiya,65.5833,-171.0,38.75,78,100,8.34,RU,1631971331
Celestún,20.8667,-90.4,78.22,88,78,11.21,MX,1631971332
Pointe Michel,15.25,-61.3833,79.09,69,18,6.98,DM,1631971333
Nuuk,64.1835,-51.7216,36.21,80,40,5.75,GL,1631971044
Provideniya,64.3833,-173.3,40.05,82,63,7.76,RU,1631971336
São Miguel do Araguaia,-13.275,-50.1628,95.41,11,1,9.78,BR,1631971337
Geraldton,-28.7667,114.6,52.21,82,0,4.61,AU,1631970802
Springbok,-29.6643,17.8865,70.32,25,0,17.69,ZA,1631971339
Honningsvåg,70.9821,25.9704,47.79,71,0,20.13,NO,1631971341
Chapais,49.7834,-74.8492,49.78,84,100,8.86,CA,1631971050
Mackay,-21.15,149.2,60.04,71,0,8.21,AU,1631971342
Cayenne,4.9333,-52.3333,88.09,71,0,3.0,GF,1631971343
Nanlong,31.3533,106.0631,66.83,87,100,5.35,CN,1631971344
Châtellerault,46.8,0.5333,64.56,1,100,13.31,FR,1631971345
Düzce,40.8389,31.1639,83.89,37,62,4.72,TR,1631971346
Norman Wells,65.282,-126.8329,44.64,81,75,6.91,CA,1631971007
Nara,34.6851,135.8049,74.48,87,98,6.4,JP,1631971228
Fort Nelson,58.8053,-122.7002,40.59,93,90,0.0,CA,1631971349
São João da Barra,-21.6403,-41.0511,78.89,73,43,11.81,BR,1631971351
Pajapan,18.25,-94.7,77.16,87,100,2.13,MX,1631971352
Daru,-9.0763,143.2092,75.49,86,100,18.32,PG,1631971353
Aloleng,16.1307,119.7824,82.08,81,11,9.26,PH,1631971354
Bontang,0.1333,117.5,79.83,81,18,3.02,ID,1631971354
Inverell,-29.7833,151.1167,57.11,81,100,3.0,AU,1631971355
Khvoynaya,58.9,34.5333,44.94,71,100,7.52,RU,1631971355
Best,51.5075,5.3903,75.18,57,90,6.91,NL,1631971357
Imbituba,-28.24,-48.6703,69.69,82,35,6.08,BR,1631971358
Ketchikan,55.3422,-131.6461,48.67,100,90,3.44,US,1631971360
Ribeira Grande,38.5167,-28.7,73.8,49,20,8.05,PT,1631970914
Chancay,-11.5714,-77.2672,57.56,85,81,3.65,PE,1631971362
Los Llanos de Aridane,28.6585,-17.9182,74.95,75,20,10.36,ES,1631971364
Tamandaré,-8.7597,-35.1047,81.01,59,14,9.64,BR,1631971365
Yuli,9.6989,10.2744,90.52,54,31,4.27,NG,1631971367
Leningradskiy,69.3833,178.4167,28.35,85,100,13.53,RU,1631971013
Aklavik,68.2191,-135.0107,41.83,100,75,5.75,CA,1631971369
Qiongshan,20.0058,110.3542,80.58,94,0,2.24,CN,1631971371
Progreso,21.2833,-89.6667,77.11,90,99,8.95,MX,1631971371
Avarua,-21.2078,-159.775,71.65,83,21,5.75,CK,1631971001
Mahina,-17.5065,-149.489,73.17,78,20,3.44,PF,1631971374
Pasinler,39.9803,41.6764,72.59,22,13,8.55,TR,1631971375
Valley City,46.9233,-98.0032,52.54,71,1,11.5,US,1631971377
Ilulissat,69.2167,-51.1,26.62,46,1,3.44,GL,1631970925
Ancud,-41.8697,-73.8203,48.42,83,87,2.59,CL,1631971378
Nikolskoye,59.7035,30.7861,49.89,49,84,8.34,RU,1631970943
Tilichiki,60.4667,166.1,41.58,81,21,2.08,RU,1631971380
Chabahar,25.2919,60.643,83.43,80,2,10.38,IR,1631971382
Saint-Augustin,51.226,-58.6502,62.69,75,14,19.37,CA,1631970910
Maningrida,-12.0667,134.2667,77.85,51,17,13.06,AU,1631970865
